goal_index,iteration,sequence_index,timestep_index,x,y,z
1,1,1,-1,1.4818874198752684e-13,2.409022037842129e-12,1.281
1,1,1,0,0.09616835378947228,-0.02363210084129906,1.1867891830920712
1,1,1,1,0.19623130245894144,-0.14200932658720436,1.061776245839417
1,1,1,2,0.16304392763925307,-0.14932016304326245,0.9728219478900239
1,1,1,3,0.18039321459717383,-0.2027028014417605,0.8863366214539901
1,1,1,4,0.26251018165344475,-0.20569234502642786,0.8011885026132477
1,1,2,0,0.035746116294970535,-0.008980837697659345,1.2072072818959396
1,1,2,1,0.1292182413861066,-0.08140577645299502,1.066916074206609
1,1,2,2,0.14878718664957818,-0.11890366889709911,0.9957929671946002
1,1,2,3,0.1978818429337314,-0.18324398002906161,0.8719252473249691
1,1,2,4,0.1745333336505796,-0.19967528355326153,0.7991217648604324
1,1,3,0,-0.0028098427494804568,-0.012135151123864537,1.214477674901769
1,1,3,1,0.13976526689967383,-0.09697118500911577,1.1037002048201505
1,1,3,2,0.125859296424364,-0.16273580968224866,0.9638497228645336
1,1,3,3,0.11767792525794243,-0.16609112195037573,0.9245186255228834
1,1,3,4,0.16093306165678994,-0.21536796436779834,0.8169797608285368
1,1,4,0,0.03472313848457359,-0.056893881911896343,1.2077760847528378
1,1,4,1,0.06438155626976728,-0.07609728756152143,1.1308990436188406
1,1,4,2,0.101698613741418,-0.12193741146165529,1.0081273307243572
1,1,4,3,0.2227805811241539,-0.1518621184674945,0.8466088937774062
1,1,4,4,0.2116017581102428,-0.22734311150703995,0.8220730699448388
1,1,5,0,0.09750712128135555,-0.05741431817278899,1.1852373604491326
1,1,5,1,0.051756878681932406,-0.08177221954633365,1.106433617225158
1,1,5,2,0.1305156555699457,-0.15245666520336904,0.9976567804780456
1,1,5,3,0.16164279122403857,-0.15173330739668084,0.9123933182637649
1,1,5,4,0.2506570218824097,-0.1923599781446172,0.7700078352967473
1,1,6,0,-0.015576036997592878,-0.010804086859950669,1.1992560865222313
1,1,6,1,0.04081612930651066,-0.04186919606283315,1.1219317139272453
1,1,6,2,0.08714194970747378,-0.09752470694665825,1.0708970597250425
1,1,6,3,0.12276064635491708,-0.1659209625083044,0.921016983590199
1,1,6,4,0.1741921624708142,-0.22651761272676302,0.8391533143964202
1,1,7,0,0.055846940351026,-0.04235383991932129,1.2172024875063652
1,1,7,1,0.09578095195858446,-0.0923206624866232,1.0903963206903775
1,1,7,2,0.09717513970515283,-0.1455989900294571,1.0074850186769373
1,1,7,3,0.11741337391486445,-0.18261065085214648,0.9407431727824523
1,1,7,4,0.22031291733294983,-0.2364234196802583,0.7489305607623978
1,1,8,0,0.09586287338173047,-0.032164164008528576,1.2138322301168598
1,1,8,1,0.058370902246246165,-0.08021187038636297,1.1035687665620266
1,1,8,2,0.16916364297937808,-0.1535774694731658,0.9627661522760816
1,1,8,3,0.17960823008280113,-0.17165319042757882,0.9071458194036437
1,1,8,4,0.1849401679182363,-0.2205230297262411,0.7948059579008978
1,1,9,0,0.07727536092454977,-0.06898601544587028,1.2045366197396636
1,1,9,1,0.09431615602424281,-0.10935197869050337,1.0842703166646368
1,1,9,2,0.16496396977668865,-0.1446202977539179,0.9730923641003685
1,1,9,3,0.194297787066337,-0.1859297931713868,0.8991490011648584
1,1,9,4,0.23188313133782837,-0.22890310101397132,0.7579563905491582
1,1,10,0,0.10732901584580681,-0.024692894346177642,1.2019358583953246
1,1,10,1,0.01637653675942751,-0.11614504040469037,1.1103318223454484
1,1,10,2,0.12435757349052513,-0.10016043059547895,1.0211265315640266
1,1,10,3,0.15739548234365341,-0.17272046494423066,0.9040299285155401
1,1,10,4,0.1712938247393062,-0.2655235352956078,0.7928315564536005
1,1,11,0,0.03332604594610509,-0.039386528371911214,1.2148257185662281
1,1,11,1,0.15436970906664443,-0.0643229619761021,1.0938856198495812
1,1,11,2,0.09456207339597979,-0.16069643604241488,0.9911502968709165
1,1,11,3,0.19619561361392146,-0.16149523870211718,0.8762757040715246
1,1,11,4,0.1871181037466746,-0.22772700758114928,0.830861121506594
1,1,12,0,0.018126268815648168,-0.02927378801580764,1.1943618500135407
1,1,12,1,0.0575503297317259,-0.08953632888056634,1.1239401943519967
1,1,12,2,0.07625123429771304,-0.1616454628639252,1.0141723808267997
1,1,12,3,0.13965285226389332,-0.17392662767301434,0.939234279246038
1,1,12,4,0.25642595025620857,-0.2232290453174219,0.7971318797140926
1,1,13,0,0.03348420332514497,-0.03839709466338309,1.2130214472058303
1,1,13,1,0.13521010974656433,-0.09348290630941156,1.096030135365354
1,1,13,2,0.174783063283267,-0.18708393519021274,0.9851002689685162
1,1,13,3,0.1978395422099729,-0.18940897056960956,0.8686093499441262
1,1,13,4,0.22630696194676664,-0.18435425903884578,0.8042220031809126
1,1,14,0,0.046963828440824834,-0.014029156601891192,1.2115752972887255
1,1,14,1,0.09850471767798974,-0.10023968365499139,1.0859786513023757
1,1,14,2,0.15441645547379307,-0.15047224899966688,0.9458537327370187
1,1,14,3,0.18150116979867936,-0.13490938764495414,0.9145759267598792
1,1,14,4,0.2409389348116922,-0.1934019214798622,0.8062961567108518
1,1,15,0,0.13390662649748514,-0.06670765324799867,1.186046631249957
1,1,15,1,0.14824652322846815,-0.16050253287751945,1.068971704655638
1,1,15,2,0.1197278073088544,-0.11596576981006404,1.0088907763979766
1,1,15,3,0.1623994773361936,-0.17645980228552727,0.9017229241598825
1,1,15,4,0.19408851332573357,-0.2093267784375424,0.836964939439811
1,1,16,0,0.08032188565845386,-0.04789813390752708,1.1930717118045402
1,1,16,1,0.16347798008120368,-0.1091045912297699,1.0601760663594135
1,1,16,2,0.15660210452248266,-0.13490811184382878,1.0037948743512985
1,1,16,3,0.20037939401727584,-0.1569308390775781,0.860542881128483
1,1,16,4,0.20756336433057315,-0.2256567717212523,0.803521434766002
1,1,17,0,0.088440643992012,-0.05386986182561225,1.1900366818525405
1,1,17,1,0.08318959554694336,-0.11770404995718795,1.0986107357676236
1,1,17,2,0.14790449528766292,-0.15057056491879828,0.9935065368983846
1,1,17,3,0.16927587731585486,-0.17082668161451756,0.8755646217214654
1,1,17,4,0.2110022250577831,-0.23473280261281232,0.7770438986172781
1,1,18,0,0.014762447441165831,-0.053001736314122506,1.2054539488987936
1,1,18,1,0.06520830459089248,-0.055828709677988454,1.1075192158262028
1,1,18,2,0.13255425725290348,-0.17589535242424517,0.9889753482341178
1,1,18,3,0.1570260820593593,-0.171469080612621,0.9106667088922762
1,1,18,4,0.24082150461450985,-0.19769599410154476,0.779964959773832
1,1,19,0,0.055224445363833086,-0.04560480973615896,1.198271902175386
1,1,19,1,0.04831160424203293,-0.07952024011142572,1.1206863094008144
1,1,19,2,0.13838666377958805,-0.15572523575372366,0.9821008475947971
1,1,19,3,0.18411031650651946,-0.19845664310804123,0.8566017939373362
1,1,19,4,0.2197694967303157,-0.19880240416754405,0.8086142934742541
1,1,20,0,0.012040878609930972,-0.040397850316174835,1.1857068585474448
1,1,20,1,0.11232335367940495,-0.0906708063499228,1.102037123041802
1,1,20,2,0.1518577537456537,-0.11442395082200696,0.9827085821919374
1,1,20,3,0.1763694159776822,-0.13643806806294168,0.918581841895397
1,1,20,4,0.22965214182228488,-0.19950290105079338,0.7864261826492752
1,1,21,0,0.04242977271849755,-0.05383606117447341,1.1897517378970892
1,1,21,1,0.07863125033487006,-0.0663847869073923,1.0871170159188512
1,1,21,2,0.17179142127801533,-0.14024762821771838,0.9765505840957784
1,1,21,3,0.17242853401288422,-0.141357933221501,0.9053372365883622
1,1,21,4,0.20990171633717353,-0.16291254065264402,0.7960339589876189
1,1,22,0,-0.013396212466610553,-0.00020178233362537663,1.2133436823114903
1,1,22,1,0.12152559706238406,-0.09932497740168413,1.0838183427049153
1,1,22,2,0.11431245541316148,-0.14322181172748938,0.9875739357906933
1,1,22,3,0.17209110733121996,-0.23947940806236162,0.8642447990012531
1,1,22,4,0.24586047853633314,-0.2001485583618023,0.7920646463628889
1,1,23,0,0.09829245253461857,-0.07488677327180493,1.1748479754252013
1,1,23,1,0.058947756221210346,-0.051009985768625116,1.120591121733507
1,1,23,2,0.084281009584765,-0.10311449738095727,1.012455872708732
1,1,23,3,0.1225638527316178,-0.1298885211506789,0.9193757518324598
1,1,23,4,0.20789690784140194,-0.2410984933649028,0.7931045691677494
1,1,24,0,0.0987796680806721,-0.018474245664825806,1.1942854077212157
1,1,24,1,0.07345953583587715,-0.04934999273306351,1.1186602376538028
1,1,24,2,0.1724831510044111,-0.1297912420110555,1.001617352495586
1,1,24,3,0.1727471061021259,-0.11126720956223049,0.9317959218017401
1,1,24,4,0.25554065951491933,-0.14753627983777448,0.8458639815971577
1,1,25,0,0.09501107383924157,-0.05473534657424317,1.1841967154976738
1,1,25,1,0.06320493592127355,-0.07241183502132932,1.1008513902635884
1,1,25,2,0.19781763282048143,-0.10672562392512559,0.9929475213920027
1,1,25,3,0.13426276629199801,-0.1522985080768212,0.9163202852853778
1,1,25,4,0.1891011984157644,-0.21404025869200047,0.7982639323039427
1,2,1,-1,0.05859684256309567,-0.039182349264147126,1.2009985938833372
1,2,1,0,0.1435920269261634,-0.06389854807602768,1.115955529206853
1,2,1,1,0.13474626965701456,-0.11427297641490605,1.056409972465446
1,2,1,2,0.154614891271724,-0.17982622395102207,0.9463456707628641
1,2,1,3,0.2118415568560751,-0.14084706693510496,0.9058544113970068
1,2,1,4,0.22301213861559818,-0.21480292028275216,0.7581587268947988
1,2,2,0,0.11366534521525737,-0.09192766647002304,1.129263829288957
1,2,2,1,0.12550363001288045,-0.1341398803428532,1.0258120374166566
1,2,2,2,0.14417447110231763,-0.13674283413987504,0.9960689676248998
1,2,2,3,0.16086051652882905,-0.19680706998703826,0.9011207876492527
1,2,2,4,0.2164829621902835,-0.22571695144261097,0.8085498482764498
1,2,3,0,0.13668192199057588,-0.0952171067166197,1.137380210884877
1,2,3,1,0.16336620921275918,-0.1367386565165633,1.0292621728420863
1,2,3,2,0.14207580485236754,-0.15833722798984398,0.9677628258899982
1,2,3,3,0.13481331972962807,-0.19042961833666755,0.8820267140784425
1,2,3,4,0.24230340307793535,-0.2254667740761398,0.7622046670941223
1,2,4,0,0.14193025205979842,-0.049769317986122455,1.1277878017792848
1,2,4,1,0.10062824059062207,-0.07720844781155527,1.0525467471449692
1,2,4,2,0.195717307498619,-0.15571964723806597,0.9224233162699023
1,2,4,3,0.236499041930206,-0.17902762265120128,0.8267835401214239
1,2,4,4,0.19772976831219918,-0.23933282322888597,0.8110810645120845
1,2,5,0,0.03838360489587546,-0.09177924848528651,1.125447515945592
1,2,5,1,0.13782106254256757,-0.09323590771420283,1.0640719266450684
1,2,5,2,0.1357736034802782,-0.16154840419537947,0.9726217706338152
1,2,5,3,0.2062934292261805,-0.1709775233750157,0.8642374670043298
1,2,5,4,0.21990835525153196,-0.22056723143732418,0.7548285177512615
1,2,6,0,0.13520651016945767,-0.08787697684786912,1.115539426502017
1,2,6,1,0.11872237662199313,-0.09147642914527387,1.0695048934749871
1,2,6,2,0.20983169191667952,-0.14779922699477027,0.9393245273253326
1,2,6,3,0.18620984508118685,-0.19457685292854415,0.8646466658381396
1,2,6,4,0.2129231948041732,-0.17009851336916565,0.8056336320728384
1,2,7,0,0.10713315397162355,-0.0908192236608791,1.131584065887706
1,2,7,1,0.08844389087969266,-0.10503266735202108,1.0489834197355998
1,2,7,2,0.19959435018517546,-0.1250133871987835,0.9644372705796295
1,2,7,3,0.17438375782015375,-0.18402936544354107,0.8926522776646781
1,2,7,4,0.2234010128377099,-0.21609274636573497,0.7778368222896536
1,2,8,0,0.033878328143910896,-0.060588517655811275,1.1465458217076923
1,2,8,1,0.08138950131454145,-0.08618104192399696,1.0725648318556489
1,2,8,2,0.13195147637197768,-0.1743707622538299,0.9860212072638899
1,2,8,3,0.23445918101361296,-0.15876846212035287,0.8734133512718698
1,2,8,4,0.23839053857160275,-0.21058860829333606,0.7566943266059643
