goal_index,iteration,sequence_index,timestep_index,x,y,z
1,1,1,-1,1.4818874198752684e-13,2.409022037842129e-12,1.281
1,1,1,0,0.05154553515837853,-0.07583384625366048,1.1741254823124763
1,1,1,1,0.10336150725966113,-0.09568708252814465,1.0518093473323076
1,1,1,2,0.118296479697692,-0.1316833757988407,0.9787077134138983
1,1,1,3,0.20039298746704964,-0.15460614500540493,0.8393547648477248
1,1,1,4,0.20984362429074452,-0.19757980210587933,0.752180843820427
1,1,1,5,0.2240951173561801,-0.24789887277575964,0.6231049802251563
1,1,1,6,0.3087401108792132,-0.2975632367875821,0.4999135084803614
1,1,1,7,0.335402868302623,-0.30959806160656345,0.3662494588329337
1,1,1,8,0.4019946305151658,-0.3763425061047167,0.3147593866972514
1,1,1,9,0.45517845478655206,-0.3513929232464207,0.19569714341041938
1,1,2,0,0.034336311850645264,-0.025737478364575864,1.2103820699774546
1,1,2,1,0.11465550267462772,-0.08174985947741012,1.0791681681043497
1,1,2,2,0.0833159395266857,-0.10606070754275915,1.0041497740980034
1,1,2,3,0.18823859461674736,-0.16606910373826866,0.8379866903459497
1,1,2,4,0.23547844339667806,-0.19431111720765906,0.758014097043593
1,1,2,5,0.24377254988391708,-0.2528735091868399,0.6215117408554861
1,1,2,6,0.3090810997102882,-0.2789637824754486,0.486639394970373
1,1,2,7,0.3064449262481237,-0.31870513020393315,0.37127174053272105
1,1,2,8,0.39538456829446794,-0.34152382994572933,0.270754016969843
1,1,2,9,0.36785434141116824,-0.3973635489928957,0.13205532804557613
1,1,3,0,0.07003228293934853,-0.04101983714788342,1.1915040816518119
1,1,3,1,0.0805288981707802,-0.13808192719287407,1.0457181032804306
1,1,3,2,0.14356015422889895,-0.19082148381059205,0.9395655567490194
1,1,3,3,0.17069722319017952,-0.149122909091498,0.8347301101037424
1,1,3,4,0.201493454522173,-0.23986602396727585,0.6948597524285177
1,1,3,5,0.24962911775774876,-0.26079224719082356,0.5925931672261401
1,1,3,6,0.25308817287223767,-0.3044706946740457,0.525897465936636
1,1,3,7,0.32305023014893697,-0.33764011570522134,0.3905739647922382
1,1,3,8,0.35949467385112316,-0.33895584282581437,0.3069038525290129
1,1,3,9,0.34671601502480304,-0.41228654330234316,0.1618337161701147
1,1,4,0,0.0725744418427555,-0.04250475220964586,1.1794873102392447
1,1,4,1,0.07046193921221765,-0.11637362031784587,1.0624438512142709
1,1,4,2,0.195882001918608,-0.1279322801004161,0.9645912587308112
1,1,4,3,0.1450897326751468,-0.17215449087547005,0.8782965254815063
1,1,4,4,0.20787856335937482,-0.22361067982452618,0.7123278306150561
1,1,4,5,0.23882756499333202,-0.2482193786316999,0.6081196982039194
1,1,4,6,0.3074212227004467,-0.2823148721842932,0.5518430403832665
1,1,4,7,0.3307449220589512,-0.3263081037043727,0.39894475357900844
1,1,4,8,0.32424081050299014,-0.3765739599093664,0.2857726851379781
1,1,4,9,0.37195064126633076,-0.46529803420909477,0.21187593518333053
1,1,5,0,0.0675386336316754,-0.040955441931203,1.2032128777885014
1,1,5,1,0.1353053920519105,-0.0593079988489038,1.0782273789525008
1,1,5,2,0.11551592861051722,-0.08530483759797888,0.9826610187099779
1,1,5,3,0.15995135607370575,-0.15851854020542844,0.8599945202783346
1,1,5,4,0.22126610724810786,-0.19944513229283692,0.72267930836506
1,1,5,5,0.26687903610364505,-0.24956361275272856,0.6362004668238574
1,1,5,6,0.3141682109554112,-0.2958590155762786,0.46551672914239495
1,1,5,7,0.3193585414155913,-0.3117367388325438,0.39564496225708534
1,1,5,8,0.32551009385241536,-0.3991043415718134,0.25885275613237374
1,1,5,9,0.43503711580022086,-0.35264580544711943,0.16881851325893132
