iteration,sequence_index,timestep_index,x,y,z
1,1,-1,1.4818874198752684e-13,2.409022037842129e-12,1.281
1,1,0,0.04977328019670049,-0.05280872665991497,1.16716795079318
1,1,1,0.09712009666960648,-0.05266493989713365,1.0735591808757885
1,1,2,0.1262592392977182,-0.13526845098936802,0.9455061640276295
1,1,3,0.17028250241206805,-0.17529796983798324,0.8632878653926797
1,1,4,0.20458196063274384,-0.20475326261116766,0.7275244311107152
1,1,5,0.22464332401275394,-0.25009014796158313,0.6482224402906119
1,1,6,0.295116796918817,-0.2950665770508335,0.4982973409243988
1,1,7,0.27665138762302016,-0.35273695212728284,0.3927136513960133
1,1,8,0.38752072200028825,-0.3541875239599131,0.25983669650805713
1,1,9,0.38775559372485346,-0.3896056348583825,0.18884546506120808
1,2,0,0.006286619843107431,-0.06889873877714629,1.1989777028876323
1,2,1,0.15629971294975817,-0.06483642433978999,1.061742494812716
1,2,2,0.1531422853571811,-0.12943244215399852,0.997766070256381
1,2,3,0.18370632701940828,-0.1433466228637091,0.8545079423632667
1,2,4,0.19718097202263535,-0.18289505021388863,0.7213434226864759
1,2,5,0.26248328810293486,-0.22296004087775617,0.6103575455481713
1,2,6,0.3053958458070978,-0.2539313048270171,0.4617123112908146
1,2,7,0.31675758539484083,-0.324689340503319,0.39841698947401694
1,2,8,0.39812408021955836,-0.38327910813771593,0.3272907370905106
1,2,9,0.4158020398303733,-0.4269377782658913,0.20603850148079272
1,3,0,0.1256286914299174,-0.05788107020752872,1.1691848378522094
1,3,1,0.16014627186460895,-0.1220763139524751,1.0584494572903347
1,3,2,0.12798389996490966,-0.13005991065744804,0.9442297092942447
1,3,3,0.1570546841244957,-0.1448461181800725,0.8854979891356523
1,3,4,0.22410655709240868,-0.2039568374366766,0.7552159918570694
1,3,5,0.2410071758337979,-0.27767904854508024,0.6202509330859464
1,3,6,0.3107629655656948,-0.2661008587418736,0.532806006231813
1,3,7,0.3196376407881003,-0.30771039737982103,0.3832827935072993
1,3,8,0.34535442646896625,-0.38488985301247525,0.2704760751838844
1,3,9,0.4221361361636471,-0.429554851150032,0.2203367546119211
1,4,0,0.09184643244757029,-0.05617029681794458,1.1801035389503194
1,4,1,0.04176095371291488,-0.08330065902798435,1.1129341484186113
1,4,2,0.15528660298299946,-0.13546374254312446,0.9451905150200667
1,4,3,0.18934811437603488,-0.13766354897506256,0.8245083691881324
1,4,4,0.19536841078972678,-0.21154566361287802,0.729938740315436
1,4,5,0.27282997221473265,-0.21806757524982176,0.6192509916443196
1,4,6,0.3082117316261034,-0.2866286755332604,0.5249982289694185
1,4,7,0.35487499752057644,-0.3317088101087625,0.4494579461440265
1,4,8,0.37609127857246044,-0.37706037595205444,0.32331263753740414
1,4,9,0.45989783211131563,-0.3634535798874169,0.2155458499423436
1,5,0,0.01750192389700768,-0.05106388574693717,1.187892902213987
1,5,1,0.10273463903651911,-0.11525244976258109,1.0566424823630078
1,5,2,0.1513590677024032,-0.11869450829606858,0.9604435118680942
1,5,3,0.2287409872526075,-0.16957488978654578,0.8139929330046133
1,5,4,0.21479554713811638,-0.20099818160453084,0.7023548137207647
1,5,5,0.2144607072098988,-0.28063035504029754,0.6776637662666912
1,5,6,0.2790408406705746,-0.26301399742745174,0.4767639659977199
1,5,7,0.2863399888711033,-0.31338177981548204,0.3714947817405229
1,5,8,0.2802934029335977,-0.41410055963368725,0.24173742858721392
1,5,9,0.43497490355141705,-0.4321372389597954,0.26110462261424106
1,6,0,-0.007449275681717014,-0.022272558889201856,1.1993147689132415
1,6,1,0.08789440900943495,-0.07020404129226776,1.0755999509692178
1,6,2,0.15206927222089245,-0.13636857847443298,0.9679002169270237
1,6,3,0.1648729250684787,-0.2010742776338173,0.8099582986387609
1,6,4,0.20258506175009977,-0.20999410668924268,0.7503241912383222
1,6,5,0.22764526927980835,-0.25379793341313683,0.6588292606498545
1,6,6,0.27272899462933353,-0.3280374344573065,0.5071352637115324
1,6,7,0.31304388075732026,-0.3117724149896763,0.3831674387702595
1,6,8,0.3700411207580059,-0.40269598384384064,0.35167158447400515
1,6,9,0.3722438550538337,-0.4300926010377855,0.19652105387114505
1,7,0,0.11824931823579746,-0.01601144935163104,1.174988778597166
1,7,1,0.08762620035795546,-0.09622004658363528,1.0975384138787572
1,7,2,0.0894942564551258,-0.13262157674605612,0.9542816863699914
1,7,3,0.1908250626167023,-0.16173135682677053,0.8634017764202844
1,7,4,0.23842259354472814,-0.17303323977194585,0.6963832346189434
1,7,5,0.23882906254703545,-0.26797127430685413,0.633325542473633
1,7,6,0.3090096328018907,-0.248894176656738,0.5015606562914382
1,7,7,0.3748136739349209,-0.31030797280883027,0.4212606409545967
1,7,8,0.35570638451373116,-0.3709684066122356,0.3360231546319301
1,7,9,0.41559383068594413,-0.3946284301673053,0.2030736732297137
1,8,0,0.06626875769352361,-0.09639184264192925,1.1887158521948638
1,8,1,0.06253484784069586,-0.05574983847535242,1.0728926060343598
1,8,2,0.1673652644022864,-0.17091052611440055,0.9322882175736548
1,8,3,0.16290896256610182,-0.14569171923992144,0.8435505607608382
1,8,4,0.16751905050641147,-0.2634284162095735,0.7724794672946723
1,8,5,0.24010570276327367,-0.21994199406039425,0.6183666020259384
1,8,6,0.30433982113808994,-0.28208196488841336,0.5534981814830708
1,8,7,0.3542455939169887,-0.31467618563965205,0.42464989978145007
1,8,8,0.3699579738641106,-0.3612077840886699,0.29626506353862797
1,8,9,0.430357952761808,-0.4184432383940124,0.21886298175157348
1,9,0,0.0024848432482510105,-0.05558221108734599,1.1765890039059967
1,9,1,0.10315801426771934,-0.11554570598024858,1.0772044331418171
1,9,2,0.07716832944198114,-0.10147526509199839,0.9800043382728162
1,9,3,0.20708671504363835,-0.18496164592443087,0.8234211358842437
1,9,4,0.17573829317289572,-0.22704324120429484,0.7760574485498724
1,9,5,0.22646834047274972,-0.2387973346845645,0.6111041303930124
1,9,6,0.29502534609389164,-0.266721397112771,0.5430298610729075
1,9,7,0.29868932657269437,-0.31218098205862177,0.3818152643935987
1,9,8,0.2970823208668066,-0.36109089405847816,0.26735155939986543
1,9,9,0.3974670732552744,-0.39066866691286783,0.15980694887155392
1,10,0,0.0500497863451322,-0.0402648172555351,1.1968543872193573
1,10,1,0.0936721872501246,-0.06256729878161542,1.0757167131876326
1,10,2,0.14022186924360722,-0.1348794366961837,0.9530815169865179
1,10,3,0.21514458132790434,-0.1411288683540428,0.8004989302108
1,10,4,0.19482539623009243,-0.20679641069166377,0.7749147878840047
1,10,5,0.22770740984032473,-0.27681670185493823,0.6552857391913596
1,10,6,0.28425426610702964,-0.2656294551251923,0.49001376107672534
1,10,7,0.33651660767654107,-0.3176761903726725,0.4326276022621446
1,10,8,0.3850215126811152,-0.3707471674251391,0.30082547938338305
1,10,9,0.42891357558619275,-0.394393987734481,0.21202336976004468
1,11,0,0.08550681903988061,-0.05655886572136996,1.158701124082071
1,11,1,0.07360204383062222,-0.08866827453029827,1.0774726174725284
1,11,2,0.07878286674010412,-0.06846703032276337,1.0136178426522398
1,11,3,0.15353672834582593,-0.14257784845140048,0.8965963005875448
1,11,4,0.18231417915227785,-0.17392393362400235,0.7596186870181968
1,11,5,0.22310194516858747,-0.2629443303539362,0.652808899168295
1,11,6,0.2657178730399585,-0.29587711467503036,0.45274550992956003
1,11,7,0.2765778878117148,-0.3360565269010114,0.3918892503146186
1,11,8,0.320173229379532,-0.3373923023358293,0.25982244319750325
1,11,9,0.4347939203041993,-0.3646369013107684,0.16348783759491736
1,12,0,0.04573516650935983,-0.059986200095901804,1.1904957835414123
1,12,1,0.12229273989351243,-0.08141093656167936,1.0676780566143034
1,12,2,0.15724528084772216,-0.11922354219010708,0.9206545063837834
1,12,3,0.1600681214334152,-0.19050116950042595,0.8053329040837177
1,12,4,0.21950089812102436,-0.21685866242351545,0.6989223750056336
1,12,5,0.21184336662902326,-0.283210845905572,0.5837745106227036
1,12,6,0.3124384683024984,-0.2665911016610375,0.46145493898336126
1,12,7,0.30999532693917886,-0.31318419634255845,0.39840179298812717
1,12,8,0.3246855544682582,-0.3458238399798423,0.2843886975041935
1,12,9,0.3983525036287515,-0.41595582321207514,0.1606579379814059
1,13,0,0.006227007744376456,-0.012257034372519775,1.1966171017680671
1,13,1,0.1460328846996434,-0.10324373980323748,1.0741537363448772
1,13,2,0.1514827987909357,-0.11572772825123787,0.9288256380723527
1,13,3,0.1944269139085239,-0.21831911959044326,0.7985920334071351
1,13,4,0.16580152969899403,-0.24050970515831863,0.7323000342427322
1,13,5,0.2410281005263093,-0.2466299863257648,0.6295820601157648
1,13,6,0.3186963193827396,-0.2635883068017283,0.5172369019432891
1,13,7,0.3388464679636042,-0.3474292064708979,0.4159406279607724
1,13,8,0.3998547030041372,-0.32888895927285655,0.25820955709318394
1,13,9,0.450753168518882,-0.39082595450144125,0.19966957847973055
1,14,0,0.07326058483073393,-0.02360639796875131,1.172795925363619
1,14,1,0.1085877971509021,-0.11150452002588185,1.0578124659493053
1,14,2,0.16768679633131056,-0.11742129602614215,0.97353348877317
1,14,3,0.2102333250527018,-0.1373968279649499,0.8535043302923829
1,14,4,0.22368819783996352,-0.20424519292536322,0.7087268407100592
1,14,5,0.2535190999449081,-0.2407071201295581,0.5472413473483891
1,14,6,0.2293527208548669,-0.3100331419144129,0.518060694534141
1,14,7,0.31337165203285605,-0.30394866872749865,0.4151837328193859
1,14,8,0.3421998497987775,-0.36084298659768027,0.2814582807683914
1,14,9,0.41827113451679715,-0.40460053178168676,0.21189103462668532
1,15,0,0.051102445316736564,-0.053288159404481575,1.1880121774023644
1,15,1,0.10312025927416174,-0.12916414106739366,1.0907541911564704
1,15,2,0.18180371144168206,-0.12872710495228923,0.9037657944250985
1,15,3,0.21752748610322703,-0.1716002977937577,0.8235512973453264
1,15,4,0.26483286881328666,-0.20763888152451976,0.7028116222065726
1,15,5,0.2535696498344931,-0.22336258259457117,0.6332910960784074
1,15,6,0.30382776398534245,-0.30427842891772494,0.49232680013635644
1,15,7,0.28752437262632635,-0.34790443162583107,0.38865847767241113
1,15,8,0.37247367173113427,-0.35953198629606203,0.31198150517698026
1,15,9,0.43622379319410276,-0.3999845162096916,0.2001099681713251
1,16,0,-0.003758356427788212,-0.027784175605176605,1.1949358636444343
1,16,1,0.0989138370906545,-0.0700195426351386,1.0705315301306908
1,16,2,0.10388912666844326,-0.12202989740512299,0.9400035944178082
1,16,3,0.13460344095746912,-0.17820144787708975,0.878699145942197
1,16,4,0.24153256193327333,-0.20413438298696873,0.7166384656834055
1,16,5,0.25986570852735075,-0.24854442270126792,0.6484276083280096
1,16,6,0.2888255508463955,-0.2820104096193474,0.5309647354607759
1,16,7,0.3586428892560987,-0.3048140385373154,0.39136115895948026
1,16,8,0.39712858040391463,-0.37064221688747007,0.29579114771188186
1,16,9,0.3976081891859237,-0.3758782531060176,0.17868698665617508
1,17,0,0.05206421909956548,-0.03433334567959406,1.1848839561947355
1,17,1,0.1197769045132956,-0.07863064946167184,1.0606233983064164
1,17,2,0.18432711029564924,-0.13366431102414567,0.9422257112537593
1,17,3,0.21895779465978774,-0.16485098627218434,0.8383623624874484
1,17,4,0.24872315819411267,-0.1909372988667061,0.7743151840209286
1,17,5,0.25598470072887836,-0.2546361347025913,0.5958181609128057
1,17,6,0.2748365423691501,-0.27774653882376843,0.48691818710879925
1,17,7,0.31747839184230886,-0.3634978409085277,0.43666210301257524
1,17,8,0.355972110323737,-0.35065843089699333,0.2246427843363115
1,17,9,0.39139628635234347,-0.3782864266048852,0.15520396724279042
1,18,0,0.11667123115494032,-0.03494586003168208,1.1816656501084997
1,18,1,0.1051766128429321,-0.12070867517566142,1.0742125586023807
1,18,2,0.10848089302447403,-0.13271856142818297,0.9770612216814164
1,18,3,0.13397470796184252,-0.16317385761546396,0.8628473196613952
1,18,4,0.21157419200689626,-0.24272551337757473,0.711175123236893
1,18,5,0.2237062714842724,-0.29513725879256697,0.6050957612885022
1,18,6,0.2960897477100956,-0.30281372486776414,0.5311932403855149
1,18,7,0.3381907829199469,-0.3252194424552494,0.3652454532193109
1,18,8,0.37735694997945,-0.34250530974411775,0.3088154960613279
1,18,9,0.39294068855055964,-0.41979359377552966,0.17421104255478304
1,19,0,-0.002296992200760746,-0.008370039066746748,1.2069846022616137
1,19,1,0.07463686709641232,-0.07519245020135401,1.0989214783291583
1,19,2,0.1260798998414548,-0.11025286896803221,0.9710557682133494
1,19,3,0.1984441342717404,-0.12631562174460909,0.8470080783615676
1,19,4,0.24093947931129672,-0.188447712299344,0.7324100809139766
1,19,5,0.23828291051470588,-0.24656257959481742,0.6182990446277313
1,19,6,0.3005739236285387,-0.26671010769717846,0.5063746513275148
1,19,7,0.32996922409833596,-0.3023478961870327,0.3736349981269864
1,19,8,0.3138204569749896,-0.41663300453905816,0.3249067919877816
1,19,9,0.39197003335998387,-0.4226245355427643,0.17076828850210496
1,20,0,0.028794349594767538,-0.018828050478392727,1.191783717207812
1,20,1,0.10601043492774169,-0.05781690728995994,1.0854913205361032
1,20,2,0.1802061957290002,-0.10216568345733584,0.9787939632858731
1,20,3,0.17113191013745244,-0.12660669952518241,0.8997056372015724
1,20,4,0.2210866686442696,-0.23772886628509085,0.7179682978463392
1,20,5,0.276769755005773,-0.2202858121158977,0.5722484136202978
1,20,6,0.29659416616120793,-0.2663572615281086,0.4759133946105752
1,20,7,0.31414795633861936,-0.3445866404053222,0.40319257139014425
1,20,8,0.33260904857433476,-0.42348567261809206,0.33718271432653224
1,20,9,0.4442244719991543,-0.3361918888324627,0.21263238004861476
