joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.0015296287341811268,0.0005020360525637505,-0.0056332584222210935,-0.0011904275584973566,0.003424664593314015,0.004304516498562455,0.004626159392512223
-0.00023120335435856628,0.00277647841769259,-0.005046817449582258,-0.0030576476835261195,-0.0015737613954252545,0.0034911901603817148,-0.011145545322108055
0.0004973290726280146,0.008134571754416134,-5.0144261477883494e-05,-0.0036182180916306097,0.006617983311562839,-0.0012391336628523003,-0.0034044189785777056
-0.009297134732312431,0.008695678227373618,0.0008611910254414685,0.0011590805686871879,-0.00553652811921509,0.007112499999803159,-0.00023357867505392077
0.0018529005422303663,0.00416066075956723,0.0015115932302610974,0.00043540682085580753,-0.00040644201509754444,-0.00013085102165589883,0.00990855076795508
0.00033748121675723574,0.0034476663919060144,0.001793788081667447,-0.012314982272730167,0.0053113632564403815,0.0052408206352038775,0.0074637403635149585
0.003169021083932369,-0.004425006910469271,0.008811498996865895,-0.004121201166527112,-0.0019597401432369394,-0.0030241269072834305,0.0021177962336421776
0.0002598257185520143,0.006579544010942336,0.0006701528872244138,0.00011869843769809314,0.0031357603917279643,-0.0032840178088231332,-0.00027312249886074047
0.010776712301046163,0.012224232779604889,-0.0009020801802058026,-0.00549161428038083,0.00472702164340937,0.00640957217221657,-0.0049814103268061224
-0.0002525375175286249,0.012185955628641623,-0.0005801594272585565,-0.004356938801022683,0.005214791372759077,0.006245172803441764,0.005598608292204162
-0.004203603609865932,-0.0016162320713840506,0.0037851790975693654,0.0027583831159263893,-8.305127886028518e-05,-0.0026266618055492503,-0.0016559879312913087
0.002902665750401406,0.008372569364640314,-0.0002800992644546151,-0.0020329587117519747,0.0038271206169503283,0.0006432462555476237,-0.0038487956814577096
0.0045503399183046585,0.008982952324054615,-0.009945532425648438,-0.004320605554897716,-0.0003589759952402828,-0.0008038935135362891,0.0012534280262921052
-0.001810607640232146,0.011598615216733717,-0.001955974528961073,-0.012778330437028688,0.0026378307362870546,0.004002046586315118,-0.006008758860549878
0.0031773681050816507,0.0024136364240153647,0.0009872084137360856,0.007117775302925731,-0.013517892750336259,-0.002567248275205103,0.012329356789822162
