iteration,sequence_index,timestep_index,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1,0,0,0.1911928318826726,-0.40948638498039075,0.0861025195082932,-0.8405599001488088,0.002253673896440331,0.20710229288015658,0.0
1,0,1,0.3328977590489969,-0.5562517355919231,0.10733711672982711,-1.2549946824798202,0.002280976455337301,0.30847411072620845,0.0
1,0,2,0.4375500477567149,-0.6089239028566101,0.12177605026724486,-1.5536884763291425,0.002124507938921353,0.37854750060473363,0.0
1,0,3,0.5047756230667207,-0.5862098400723824,0.13777834131939187,-1.7841280412486769,0.0022186023769975006,0.42965534323066296,0.0
1,0,4,0.5451473715636569,-0.4807830025995067,0.15881776866830397,-1.9527093911584394,0.0028528681919766873,0.46350560147491005,0.0
1,0,5,0.5691914707821026,-0.28376853626405235,0.18212884163254364,-2.051676326780017,0.004096985745667748,0.4776543388720235,0.0
1,0,6,0.584021792604794,-0.006655683644720232,0.20032369944999914,-2.070150140920856,0.005494693385969774,0.46909178397134216,0.0
1,0,7,0.5952553574667766,0.3109577793249059,0.2071683797867306,-2.005367168414347,0.00627676174322228,0.43939341080939426,0.0
1,0,8,0.607378702497867,0.6277118900857536,0.20344807816858143,-1.8656441737037068,0.0062941712104944494,0.39407769199648474,0.0
1,0,9,0.6231413986876891,0.9267395557790157,0.1944705063284427,-1.661120548263614,0.0059536932287207285,0.33700996523609345,0.0
1,1,0,0.2570675748456027,-0.4821809107437352,0.12056668759935557,-0.9666208209687445,-0.009243464552946569,0.2722180329870678,0.03615943485484865
1,1,1,0.4048697958971891,-0.602518152147291,0.16187700337696478,-1.2431393044678039,0.0033918427905995146,0.2555084228960839,-0.00892923626504871
1,1,2,0.41798350987614075,-0.5022785422515545,0.10809966876319736,-1.6995443374943657,0.02516504415076348,0.37236223274316105,0.04909486004993526
1,1,3,0.5431416221599314,-0.6522921805496619,0.1593512924157637,-1.819224545543588,-0.05185343857891026,0.36703464096425287,-0.02897980181550047
1,1,4,0.6029411016800303,-0.6112629690557646,0.16983263407870378,-1.9406688364227394,-0.02493556681794147,0.46652067528742536,-0.0031414015503455025
1,1,5,0.506809707913126,-0.19649458073234444,0.1681294139763282,-2.044664499211857,-0.045111878830895964,0.42292480730360615,0.0071096192068929275
1,1,6,0.6197517539459533,-0.07001750221956209,0.18909808482468143,-1.9996154059827616,-0.017157823318208025,0.44373666860444805,-0.0584909218725352
1,1,7,0.49641315916880224,0.3006191400954083,0.23668135000394352,-1.9715727924744302,-0.05520560404726556,0.3446698797742884,0.041003180937314344
1,1,8,0.6491084260907511,0.6297994264776785,0.1462597904705806,-1.8396542021317317,0.042940253053758565,0.3447877428205492,0.10008994829330181
1,1,9,0.6251863688351551,0.9586561758338674,0.21604448610448262,-1.7988581250653197,0.0851063488628733,0.38032887802646687,0.09174521040391179
1,2,0,0.16400322670509238,-0.37282332061552764,0.14049373491050418,-0.8875893369846632,0.009824202777617351,0.23578659828207288,0.011025167274534887
1,2,1,0.2798808315657941,-0.4315593186264323,0.10283490466551609,-1.2753665385477486,0.019232507885655642,0.36375204954140183,-0.02675392416241966
1,2,2,0.41022672500521135,-0.6834432180913047,0.1170400595276778,-1.5509076926430836,0.04641940484955928,0.34811046973485404,-0.08052549612410083
1,2,3,0.47051044955032173,-0.6498621039292725,0.1340539747577524,-1.7431725006194305,-0.08075760522668096,0.46304648815178573,-0.053459334123650386
1,2,4,0.5696814428540398,-0.4894514704959438,0.14174899416887488,-2.0241835790173863,0.0692444419571306,0.4035849181523522,0.036489527479931436
1,2,5,0.5714293304753896,-0.23734531664687722,0.11986359831083981,-2.0290313683707124,0.027657147274137785,0.4223269765273709,0.0026264068742490616
1,2,6,0.6361652715710922,-0.009512745825069216,0.20500222007340038,-2.0477236115126316,0.053612945091448455,0.44131396921334287,-0.026185512444600042
1,2,7,0.5386890849564447,0.3574550365913416,0.2744472652812355,-2.045142790408394,0.00040926492550222553,0.3738858666285683,-0.015257215628959079
1,2,8,0.615759418441166,0.7060553238776731,0.22725030310510194,-1.9619574285272123,-0.0445132364885224,0.3705549780416377,0.027908423180341764
1,2,9,0.5218448691862108,0.91746497051254,0.10080003142465793,-1.5880136903042625,-0.023305901771020827,0.3442390435471013,0.040523577264001756
1,3,0,0.20945135507404083,-0.43997101289616225,0.06568982872118828,-0.8858237729041192,-0.009390278995284924,0.16039605281300057,-0.019004154426984627
1,3,1,0.26618315628547706,-0.551721077067393,0.05989839742380573,-1.1532210118107733,-0.03654245011719713,0.28564449155597055,-0.005955117938496107
1,3,2,0.42868433126587824,-0.6467496013947299,0.10254561064970445,-1.5827503777582694,-0.00234473805135531,0.3908239441713717,0.017879961014604224
1,3,3,0.5364657685627541,-0.6037753043344362,0.03609398632424983,-1.8017577391069057,0.006526182951241567,0.4997457200690377,-0.014070262753549912
1,3,4,0.5347420029103757,-0.4667331948250369,0.1440436912581923,-1.938240491259639,0.014478333469140275,0.5519613883356347,0.00706671851436378
1,3,5,0.5445782792730329,-0.2349419254225172,0.1058458083951487,-1.9930874867261135,-0.022162928045518143,0.4630740025736548,-0.07700783264270931
1,3,6,0.5970132577456383,-0.044445989807425375,0.14691362298383218,-2.0145611875009126,-0.01131916477319095,0.49073952408843563,0.011942838639297832
1,3,7,0.5718477306691876,0.288335249024382,0.2379587804206376,-1.8381615771521416,0.07546770746432754,0.38602672233649954,-0.05585508876795647
1,3,8,0.623481354137281,0.6045787029173194,0.214102480340048,-1.95248568900721,0.048594248372882766,0.3313632436956896,-0.009925017956510872
